node_id,type,distance_to_root
2708,slab,16826.09025498787
2709,branch,16870.58935436731
2710,slab,16928.65866507082
2711,end,16963.299681222197
2712,branch,17179.707728129106
2713,branch,17254.540875864586
2714,branch,17356.521266136442
2715,slab,17478.176516742406
2716,slab,17518.176516742406
2717,slab,17562.8978762924
2718,slab,17607.619235842398
2719,end,17642.260251993775
2720,slab,17051.049270378582
2721,slab,17079.333541626045
2722,slab,17099.333541626045
2723,slab,17133.974557777423
2724,slab,17162.258829024886
2725,slab,17196.899845176264
2726,slab,17266.18187747902
2727,end,17300.822893630397
2728,slab,16139.844044871408
2729,slab,16184.565404421404
2730,slab,16233.555199277067
2731,slab,16268.196215428445
2732,slab,16288.196215428445
2733,slab,16308.196215428445
2734,slab,16342.837231579822
2735,end,16371.121502827284
2736,branch,16356.254566832155
2737,slab,16430.70019821438
2738,slab,16475.421557764377
2739,slab,16520.142917314373
2740,slab,16548.427188561836
2741,slab,16568.427188561836
2742,slab,16603.068204713214
2743,end,16631.352475960677
2744,slab,15949.15369682933
2745,slab,15977.43796807679
2746,slab,16034.006510571715
2747,slab,16094.006510571715
2748,slab,16143.20000607671
2749,slab,16219.226317311703
2750,slab,16279.226317311703
2751,end,16313.86733346308
2752,slab,15062.385923651984
2753,slab,15122.385923651984
2754,slab,15157.026939803362
2755,slab,15177.026939803362
2756,slab,15233.595482298286
2757,slab,15282.585277153948
2758,slab,15302.585277153948
2759,end,15322.585277153948
2760,branch,14918.208222678495
2761,slab,14969.336687210933
2762,slab,14997.620958458394
2763,slab,15017.620958458394
2764,slab,15045.905229705855
2765,slab,15102.47377220078
2766,slab,15159.042314695704
2767,end,15193.683330847081
2768,slab,15582.645920974628
2769,slab,15617.286937126006
2770,slab,15637.286937126006
2771,slab,15657.286937126006
2772,slab,15677.286937126006
2773,slab,15697.286937126006
2774,slab,15717.286937126006
2775,end,15751.927953277383
2776,branch,14748.99768443495
2777,branch,14798.976504182927
2778,slab,14851.309407166424
2779,slab,14900.299202022086
2780,slab,14920.299202022086
2781,slab,14940.299202022086
2782,slab,14960.299202022086
2783,end,14988.583473269548
2784,slab,15512.659865847907
2785,branch,15547.300881999285
2786,slab,15596.290676854947
2787,slab,15616.290676854947
2788,slab,15650.931693006325
2789,slab,15670.931693006325
2790,slab,15699.215964253786
2791,end,15719.215964253786
2792,branch,14210.211549150825
2793,slab,14245.988636790822
2794,slab,14280.6296529422
2795,slab,14308.913924189661
2796,slab,14328.913924189661
2797,slab,14363.554940341039
2798,slab,14383.554940341039
2799,end,14418.195956492416
2800,slab,13987.294327010393
2801,branch,14032.01568656039
2802,slab,14106.848834295868
2803,slab,14151.570193845864
2804,slab,14220.85222614862
2805,slab,14255.493242299997
2806,slab,14290.134258451375
2807,end,14310.134258451375
2808,slab,14048.16856125776
2809,slab,14068.16856125776
2810,slab,14096.452832505222
2811,branch,14150.974396126383
2812,slab,14191.331969296685
2813,slab,14225.972985448063
2814,slab,14254.257256695524
2815,end,14282.541527942985
2816,slab,2770.892946766052
2817,slab,2840.174979068807
2818,slab,2868.4592503162685
2819,slab,2903.100266467646
2820,slab,2952.09006132331
2821,slab,2986.7310774746875
2822,slab,3015.0153487221496
2823,end,3035.0153487221496
2824,slab,2116.5371431671147
2825,slab,2196.5371431671147
2826,slab,2313.1561810640205
2827,branch,2471.3254110484686
2828,slab,2616.7791912979806
2829,slab,2716.7791912979806
2830,slab,2761.5005508479762
2831,end,2796.141566999354
2832,branch,55568.885827408274
2833,slab,55651.135621079564
2834,branch,55756.97751263667
2835,slab,55935.81240875845
2836,branch,56080.55355701975
2837,slab,56221.0882502453
2838,end,56241.0882502453
2839,slab,55150.34676093738
2840,slab,55270.34676093738
2841,slab,55405.99336059988
2842,branch,55559.679860740274
2843,slab,55618.75037353349
2844,branch,55738.32883474079
2845,end,55839.21758354215
2846,branch,53248.77403366944
2847,branch,53305.90589754187
2848,slab,53389.58252522334
2849,slab,53417.8667964708
2850,slab,53452.50781262218
2851,slab,53480.79208386964
2852,end,53500.79208386964
2853,slab,18048.40724086862
2854,slab,18097.397035724283
2855,slab,18125.681306971746
2856,branch,18160.322323123124
2857,slab,18220.322323123124
2858,slab,18276.890865618047
2859,end,18340.136418821414
2860,slab,18069.710918072233
2861,slab,18089.710918072233
2862,slab,18124.35193422361
2863,branch,18151.719126340886
2864,slab,18186.199339208324
2865,slab,18214.483610455787
2866,end,18234.483610455787
2867,slab,17905.050337529872
2868,slab,17933.334608777335
2869,branch,17956.37167387787
2870,slab,18002.61664110076
2871,slab,18030.900912348225
2872,slab,18059.185183595688
2873,end,18093.826199747065
2874,branch,17818.55774525883
2875,slab,17842.350312401926
2876,branch,17870.63458364939
2877,slab,17905.275599800767
2878,slab,17939.916615952145
2879,slab,17968.200887199608
2880,end,18002.841903350985
2881,slab,16268.239474288697
2882,slab,16296.523745536158
2883,slab,16341.245105086155
2884,slab,16443.22549535801
2885,slab,16487.946854908005
2886,slab,16522.587871059382
2887,end,16542.587871059382
2888,slab,17355.316498050463
2889,slab,17400.03785760046
2890,slab,17428.32212884792
2891,slab,17456.606400095385
2892,slab,17476.606400095385
2893,slab,17496.606400095385
2894,end,17531.247416246762
2895,branch,17482.370167979094
2896,slab,17560.34521357468
2897,slab,17580.34521357468
2898,slab,17640.34521357468
2899,branch,17700.34521357468
2900,slab,17720.34521357468
2901,end,17765.066573124677
2902,slab,17475.073431712404
2903,slab,17509.714447863782
2904,slab,17529.714447863782
2905,slab,17557.998719111245
2906,slab,17592.639735262623
2907,slab,17612.639735262623
2908,end,17640.924006510086
2909,slab,17117.769959234534
2910,slab,17152.410975385912
2911,slab,17197.132334935908
2912,slab,17231.773351087286
2913,slab,17251.773351087286
2914,slab,17286.414367238664
2915,end,17314.698638486127
2916,slab,17270.604874743094
2917,slab,17298.889145990557
2918,slab,17318.889145990557
2919,branch,17353.530162141935
2920,branch,17413.530162141935
2921,slab,17473.530162141935
2922,end,17513.530162141935
2923,slab,16889.22217978506
2924,slab,16938.211974640726
2925,slab,16998.211974640726
2926,slab,17042.933334190722
2927,slab,17062.933334190722
2928,slab,17082.933334190722
