segment_id,length,tortuosity,root_dist,strahler_index,radius_mean,radius_min,radius_max,volume
60,139.9325830395143,1.0212688780866492,16485.24840166793,1,23.25142526626587,10.0,34.72140121459961,211298.48248740434
61,88.2842712474619,1.0706040465053,16260.552971811556,1,12.071074962615967,10.0,18.284299850463867,41020.43098393877
62,154.68419745885797,1.0236829242338412,17256.820158756196,1,26.275224208831787,10.0,66.81659698486328,695373.9632718217
63,151.1853095494937,1.03834492920549,16228.232249556866,1,23.25142526626587,10.0,34.72140121459961,238700.7978690457
64,8114.582461142048,1.4789536425958374,2685.301547777184,6,31.06539747255658,10.0,70.0,29262047.7807305
65,203.9607805437114,0.9999999785821673,10799.884008919236,4,70.0,70.0,70.0,3139732.3471514243
66,109.91449580172005,1.0328851309986464,16033.927486282095,1,17.071074962615967,10.0,30.0,104636.87495794747
67,125.16255400327042,1.0000000169650392,15144.855920870628,2,60.829050064086914,59.54710006713867,62.111000061035156,1455159.6433809293
68,149.2820323027551,1.1252556428415337,15270.0184748739,1,43.85126749674479,34.72140121459961,62.111000061035156,826814.6424637937
69,250.46579677549994,1.0817912090958208,17036.95581087974,1,37.10424995422363,10.0,66.30599975585938,2008565.8555222717
70,93.24933939538707,0.9999999519923352,17190.44722912742,2,77.74450302124023,66.40160369873047,89.08740234375,1783223.291234232
71,127.45095846051859,1.0869157055640262,17283.69656852281,1,31.561967849731445,10.0,66.40160369873047,601408.8017380607
72,84.7213595499958,1.0273973956857414,16740.459932490394,1,10.0,10.0,10.0,26615.99998311455
73,247.1026507323781,1.1098204486575536,16947.553752615608,1,33.51872491836548,10.0,55.79059982299805,1527090.9868212673
74,103.01456264116885,1.1389954115248078,17098.738859437883,1,15.118024826049805,10.0,30.47209930419922,84704.97785468816
75,89.22805670512525,1.1395908811344302,16734.16536672724,1,12.071074962615967,10.0,18.284299850463867,46819.8014956774
76,97.27406610312546,1.1158100676272384,16452.380632164462,1,12.071074962615967,10.0,18.284299850463867,46830.41902335122
77,247.12877204235062,1.0729344821833113,16342.431069904458,1,26.005499839782715,10.0,54.02199935913086,995305.0227060756
78,106.13026217699498,1.0340211163057962,15973.907634932062,1,14.131199836730957,10.0,18.284299850463867,68498.41095044232
79,119.22447494512276,1.1040498866669968,16192.59673507091,1,16.180350303649902,10.0,34.72140121459961,117211.04529997811
